level;id;profil_id;applicantcount;loannb;firstloan_amount;firstloan_type;firstloan_type_tax;firstloan_rate;firstloan_duration_years;firstloan_differ_months;contract_start_months;primary_applicant_sex;primary_applicant_age;primary_applicant_marital_status;post_code;primary_applicant_occupation_code;primary_applicant_contract;primary_applicant_working_time;primary_applicant_travel;primary_applicant_risk;primary_applicant_smoke;primary_applicant_share;contract_start_date;object;loan_effective;loan_one_year;lending_bank
FUR2018;1;FUR2018_1;Oui;1;333712;Amortissable;Fixe;1,06;24;0;8;Femme;36;Concubinage;78440;Salarié cadre;CDI;Temps partiel;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;2;FUR2018_2;Oui;1;107847;Amortissable;Fixe;1,26;12;0;0;Femme;51;Marié;77600;Enseignant;CDD;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Foncier de France
FUR2018;3;FUR2018_3;Oui;1;127685;Amortissable;Fixe;1,93;16;0;11;Femme;36;Concubinage;37150;Salarié cadre;CDI;Temps plein;Plus de 30.000 km par an;Non;Non;1;;Résidence secondaire;Prêt à signer;;BNP Paribas
FUR2018;4;FUR2018_4;Oui;1;73405;Amortissable;Fixe;4,9;23;13;0;Homme;31;Pacs;94140;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Foncier de France
FUR2018;5;FUR2018_5;Oui;1;53826;Amortissable;Fixe;1,51;20;0;3;Homme;47;Veuf;29400;Agriculteur;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt à signer;;Caisse d'Epargne
FUR2018;6;FUR2018_6;Oui;1;122855;Amortissable;Fixe;2,77;9;0;0;Homme;37;Pacs;87310;Enseignant;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;7;FUR2018_7;Oui;1;144257;Amortissable;Fixe;2,27;5;0;0;Femme;20;Concubinage;46130;Salarié;Intérimaire;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;BNP Paribas
FUR2018;8;FUR2018_8;Oui;1;128877;Amortissable;Fixe;1,23;25;0;0;Homme;45;Marié;95800;Profession Libérale;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt signé;Non;Caisse d'Epargne
FUR2018;9;FUR2018_9;Oui;1;112475;Amortissable;Fixe;1,56;11;0;3;Homme;48;Marié;77220;Salarié cadre;CDI;Temps plein;Plus de 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Autre
FUR2018;10;FUR2018_10;Oui;1;483785;Amortissable;Fixe;1,57;1;0;0;Femme;30;Marié;08160;Etudiant;;;;;Non;1;;Résidence principale;Prêt à signer;;LCL
FUR2018;11;FUR2018_11;Oui;1;114562;Amortissable;Fixe;2,26;8;0;9;Femme;41;Célibataire;17500;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Je ne sais pas
FUR2018;12;FUR2018_12;Oui;1;488009;Amortissable;Fixe;1,95;29;0;5;Homme;27;Marié;77760;Artisan;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Oui;Oui;1;;Résidence principale;Prêt à signer;;Banque postale
FUR2018;13;FUR2018_13;Oui;1;105056;Amortissable;Fixe;2,51;29;0;0;Homme;39;Marié;13015;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Société Générale
FUR2018;14;FUR2018_14;Oui;1;146258;Amortissable;Fixe;1,65;11;0;3;Femme;39;Marié;62760;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;BNP Paribas
FUR2018;15;FUR2018_15;Oui;1;118728;Amortissable;Fixe;1,18;4;0;11;Homme;41;Pacs;26220;Au foyer;;;;;Non;1;;Résidence principale;Prêt à signer;;Je ne sais pas
FUR2018;16;FUR2018_16;Oui;1;39819;Amortissable;Fixe;1,68;11;0;0;Femme;36;Marié;91590;Chef d'entreprise;CDI;Temps plein;Moins de 15.000 km par an;Oui;Oui;1;;Autres;Prêt à signer;;LCL
FUR2018;17;FUR2018_17;Oui;1;167192;Amortissable;Fixe;1,44;10;0;0;Femme;43;Célibataire;80860;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Non;Banque populaire
FUR2018;18;FUR2018_18;Oui;1;132285;Amortissable;Fixe;1,92;28;0;0;Femme;25;Divorcé;77730;Fonctionnaire;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit mutuel
