campaignID;profilID;siteID;insurer;coverage;prix;fees;date_extraction;date_aspiration;flag_parsing;wrong_price;id;status;year;month;week;type
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;AsCourtage;Minimum;1848;350;13/03/2018;13/03/2018;;;26599;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;HODEVA;Minimum;2525;100;13/03/2018;13/03/2018;;;26600;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;SIMPL'ASSUR;Minimum;2902;10;13/03/2018;13/03/2018;;;26601;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;CSF Assurances;Minimum;3628;Gratuits;13/03/2018;13/03/2018;;;26602;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;AXA;Minimum;3950;"Gratuits
";13/03/2018;13/03/2018;;;26603;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;AFI-ESCA;Minimum;4074;20;13/03/2018;13/03/2018;;;26604;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;Groupe AVIVA;Minimum;6944;20;13/03/2018;13/03/2018;;;26605;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;HODEVA;Formule Optimum;4195;100;13/03/2018;13/03/2018;;;26606;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;AFI-ESCA;Formule Optimum;5441;20;13/03/2018;13/03/2018;;;26607;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;SIMPL'ASSUR;Formule Optimum;5854;10;13/03/2018;13/03/2018;;;26608;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;AXA;Formule Optimum;5892;"Gratuits
";13/03/2018;13/03/2018;;;26609;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;AsCourtage;Formule Optimum;5931;350;13/03/2018;13/03/2018;;;26610;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;CSF Assurances;Formule Optimum;6899;Gratuits;13/03/2018;13/03/2018;;;26611;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_337;ASSURLAND_LOAN;Groupe AVIVA;Formule Optimum;11327;20;13/03/2018;13/03/2018;;;26612;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;SIMPL'ASSUR;Minimum;3883;10;13/03/2018;13/03/2018;;;26613;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;HODEVA;Minimum;4376;100;13/03/2018;13/03/2018;;;26614;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;CSF Assurances;Minimum;5577;Gratuits;13/03/2018;13/03/2018;;;26615;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;AsCourtage;Minimum;5688;350;13/03/2018;13/03/2018;;;26616;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;AFI-ESCA;Minimum;6161;20;13/03/2018;13/03/2018;;;26617;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;AXA;Minimum;7045;"Gratuits
";13/03/2018;13/03/2018;;;26618;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;MAAF Assurances;Minimum;8143;Gratuits;13/03/2018;13/03/2018;;;26619;OK;2018;3;11;RECURRENT
FL_ASSURLAND_LOAN_LOAN2017_Y18W11_RECURRENT_8XIA091ANK;LOAN2017_110;ASSURLAND_LOAN;Zen'up;Minimum;11095;20;13/03/2018;13/03/2018;;;26620;OK;2018;3;11;RECURRENT
