"campaignID";"profilID";"siteID";"insurer";"coverage";"prix";"fees";"date_extraction";"date_aspiration";"flag_parsing";"wrong_price";"id";"status";"year";"month";"week";"type"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"NO_INSURER";"Formule Optimum";"0";"0";"2017-11-22";"2017-11-22";"";"";"25098";"NO_PRICE";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"Cardif";"Minimum";"2511";"10";"2017-11-22";"2017-11-22";"";"";"25095";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"HODEVA";"Minimum";"2294";"100";"2017-11-22";"2017-11-22";"";"";"25092";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"Zen'up";"Minimum";"1943";"20";"2017-11-22";"2017-11-22";"";"";"25091";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"Groupe AXA";"Minimum";"1917";"60";"2017-11-22";"2017-11-22";"";"";"25090";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Minimum";"3052";"10";"2017-11-22";"2017-11-22";"";"";"25097";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"MAAF Assurances";"Minimum";"2621";"Gratuits";"2017-11-22";"2017-11-22";"";"";"25096";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"AFI-ESCA";"Minimum";"2335";"20";"2017-11-22";"2017-11-22";"";"";"25093";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"AXA";"Minimum";"2343";"Gratuits
";"2017-11-22";"2017-11-22";"";"";"25094";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_0";"ASSURLAND_LOAN";"AsCourtage";"Minimum";"1331";"350";"2017-11-22";"2017-11-22";"";"";"25089";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"AsCourtage";"Minimum";"818";"350";"2017-11-20";"2017-11-20";"";"";"23426";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"Zen'up";"Minimum";"1103";"20";"2017-11-20";"2017-11-20";"";"";"23427";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"Groupe AXA";"Minimum";"1274";"60";"2017-11-20";"2017-11-20";"";"";"23428";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"HODEVA";"Minimum";"1280";"100";"2017-11-20";"2017-11-20";"";"";"23429";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"AFI-ESCA";"Minimum";"1443";"20";"2017-11-20";"2017-11-20";"";"";"23430";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"MAAF Assurances";"Minimum";"1444";"Gratuits";"2017-11-20";"2017-11-20";"";"";"23431";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"AXA";"Minimum";"1641";"Gratuits
";"2017-11-20";"2017-11-20";"";"";"23432";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"Cardif";"Minimum";"1644";"10";"2017-11-20";"2017-11-20";"";"";"23433";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"Groupe AXA";"Formule Optimum";"1806";"60";"2017-11-20";"2017-11-20";"";"";"23434";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"AsCourtage";"Formule Optimum";"2037";"350";"2017-11-20";"2017-11-20";"";"";"23435";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"Zen'up";"Formule Optimum";"2079";"20";"2017-11-20";"2017-11-20";"";"";"23436";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"Cardif";"Formule Optimum";"2179";"10";"2017-11-20";"2017-11-20";"";"";"23437";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"HODEVA";"Formule Optimum";"2356";"100";"2017-11-20";"2017-11-20";"";"";"23438";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"AFI-ESCA";"Formule Optimum";"2533";"20";"2017-11-20";"2017-11-20";"";"";"23439";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"MAAF Assurances";"Formule Optimum";"2570";"Gratuits";"2017-11-20";"2017-11-20";"";"";"23440";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"AXA";"Formule Optimum";"3344";"Gratuits
";"2017-11-20";"2017-11-20";"";"";"23441";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_1";"ASSURLAND_LOAN";"CSF Assurances";"Formule Optimum";"8964";"Gratuits";"2017-11-20";"2017-11-20";"";"";"23442";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"AsCourtage";"Minimum";"808";"350";"2017-11-20";"2017-11-20";"";"";"23488";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"Zen'up";"Minimum";"1222";"20";"2017-11-20";"2017-11-20";"";"";"23489";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"Groupe AXA";"Minimum";"1271";"60";"2017-11-20";"2017-11-20";"";"";"23490";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"AXA";"Minimum";"1372";"Gratuits
";"2017-11-20";"2017-11-20";"";"";"23491";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"AFI-ESCA";"Minimum";"1503";"20";"2017-11-20";"2017-11-20";"";"";"23492";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"HODEVA";"Minimum";"1527";"100";"2017-11-20";"2017-11-20";"";"";"23493";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"Cardif";"Minimum";"1599";"10";"2017-11-20";"2017-11-20";"";"";"23494";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"MAAF Assurances";"Minimum";"1665";"Gratuits";"2017-11-20";"2017-11-20";"";"";"23495";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Minimum";"1958";"10";"2017-11-20";"2017-11-20";"";"";"23496";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"Groupe AXA";"Formule Optimum";"2040";"60";"2017-11-20";"2017-11-20";"";"";"23497";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"AsCourtage";"Formule Optimum";"2132";"350";"2017-11-20";"2017-11-20";"";"";"23498";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"Cardif";"Formule Optimum";"2145";"10";"2017-11-20";"2017-11-20";"";"";"23499";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"Zen'up";"Formule Optimum";"2364";"20";"2017-11-20";"2017-11-20";"";"";"23500";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"AFI-ESCA";"Formule Optimum";"2637";"20";"2017-11-20";"2017-11-20";"";"";"23501";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"HODEVA";"Formule Optimum";"2768";"100";"2017-11-20";"2017-11-20";"";"";"23502";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"MAAF Assurances";"Formule Optimum";"3102";"Gratuits";"2017-11-20";"2017-11-20";"";"";"23503";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Formule Optimum";"3319";"10";"2017-11-20";"2017-11-20";"";"";"23504";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"AXA";"Formule Optimum";"3323";"Gratuits
";"2017-11-20";"2017-11-20";"";"";"23505";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_0G8E7HAKRE";"LOAN2017_10";"ASSURLAND_LOAN";"CSF Assurances";"Formule Optimum";"9180";"Gratuits";"2017-11-20";"2017-11-20";"";"";"23506";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"AXA";"Minimum";"1360";"Gratuits
";"2017-11-22";"2017-11-22";"";"";"26422";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"Cardif";"Minimum";"1395";"10";"2017-11-22";"2017-11-22";"";"";"26424";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"HODEVA";"Formule Optimum";"2374";"100";"2017-11-22";"2017-11-22";"";"";"26431";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"Cardif";"Formule Optimum";"2165";"10";"2017-11-22";"2017-11-22";"";"";"26430";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"HODEVA";"Minimum";"1383";"100";"2017-11-22";"2017-11-22";"";"";"26423";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"SIMPL'ASSUR";"Minimum";"1622";"10";"2017-11-22";"2017-11-22";"";"";"26426";"OK";"2017";"11";"46";"RECURRENT"
"FL_ASSURLAND_LOAN_LOAN2017_Y17W46_RECURRENT_V2_LEBIR6YOIQ";"LOAN2017_100";"ASSURLAND_LOAN";"Groupe AXA";"Formule Optimum";"2155";"60";"2017-11-22";"2017-11-22";"";"";"26429";"OK";"2017";"11";"46";"RECURRENT"
