campaignID;profilID;siteID;insurer;prix;death;authonomyloss;disability;tempincapacity;date_extraction;date_aspiration;flag_parsing;wrong_price;id;status;year;month;week;type
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_1;FURETS_LOAN;Groupe AXA;1857;YES;YES;NO;NO;09/03/2018;09/03/2018;;;1;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_2;FURETS_LOAN;bnp;2144;YES;YES;NO;NO;09/03/2018;09/03/2018;;;2;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_3;FURETS_LOAN;metlife;2190;YES;YES;NO;NO;09/03/2018;09/03/2018;;;3;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_4;FURETS_LOAN;swisslife;2355;YES;YES;NO;NO;09/03/2018;09/03/2018;;;4;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_5;FURETS_LOAN;Groupe AXA;2680;YES;YES;YES;NO;09/03/2018;09/03/2018;;;5;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_6;FURETS_LOAN;magnolia;3110;YES;YES;YES;YES;09/03/2018;09/03/2018;;;6;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_7;FURETS_LOAN;swisslife;3244;YES;YES;YES;NO;09/03/2018;09/03/2018;;;7;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_8;FURETS_LOAN;april;3468;YES;YES;NO;NO;09/03/2018;09/03/2018;;;8;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_9;FURETS_LOAN;metlife;3767;YES;YES;YES;YES;09/03/2018;09/03/2018;;;9;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_10;FURETS_LOAN;Groupe AXA;3860;YES;YES;YES;YES;09/03/2018;09/03/2018;;;10;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_11;FURETS_LOAN;bnp;3957;YES;YES;YES;YES;09/03/2018;09/03/2018;;;11;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_12;FURETS_LOAN;swisslife;4480;YES;YES;YES;YES;09/03/2018;09/03/2018;;;12;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_13;FURETS_LOAN;magnolia;4776;YES;YES;YES;YES;09/03/2018;09/03/2018;;;13;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_14;FURETS_LOAN;april;6229;YES;YES;YES;YES;09/03/2018;09/03/2018;;;14;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_15;FURETS_LOAN;Groupe AXA;2007;YES;YES;NO;NO;09/03/2018;09/03/2018;;;15;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_16;FURETS_LOAN;bnp;2511;YES;YES;NO;NO;09/03/2018;09/03/2018;;;16;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_17;FURETS_LOAN;april;2661;YES;YES;NO;NO;09/03/2018;09/03/2018;;;17;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_18;FURETS_LOAN;metlife;2782;YES;YES;NO;NO;09/03/2018;09/03/2018;;;18;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_19;FURETS_LOAN;Groupe AXA;2814;YES;YES;YES;NO;09/03/2018;09/03/2018;;;19;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_20;FURETS_LOAN;Groupe AXA;3512;YES;YES;YES;YES;09/03/2018;09/03/2018;;;20;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_21;FURETS_LOAN;bnp;3802;YES;YES;YES;YES;09/03/2018;09/03/2018;;;21;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_22;FURETS_LOAN;april;4420;YES;YES;YES;YES;09/03/2018;09/03/2018;;;22;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_23;FURETS_LOAN;metlife;4802;YES;YES;YES;YES;09/03/2018;09/03/2018;;;23;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_24;FURETS_LOAN;Groupe AXA;2058;YES;YES;NO;NO;09/03/2018;09/03/2018;;;24;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_25;FURETS_LOAN;swisslife;2606;YES;YES;NO;NO;09/03/2018;09/03/2018;;;25;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_26;FURETS_LOAN;bnp;2791;YES;YES;NO;NO;09/03/2018;09/03/2018;;;26;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_27;FURETS_LOAN;metlife;2805;YES;YES;NO;NO;09/03/2018;09/03/2018;;;27;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_28;FURETS_LOAN;Groupe AXA;3106;YES;YES;YES;NO;09/03/2018;09/03/2018;;;28;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_29;FURETS_LOAN;swisslife;3332;YES;YES;YES;NO;09/03/2018;09/03/2018;;;29;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_30;FURETS_LOAN;april;3731;YES;YES;NO;NO;09/03/2018;09/03/2018;;;30;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_31;FURETS_LOAN;bnp;4281;YES;YES;YES;YES;09/03/2018;09/03/2018;;;31;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_32;FURETS_LOAN;swisslife;4364;YES;YES;YES;YES;09/03/2018;09/03/2018;;;32;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_33;FURETS_LOAN;Groupe AXA;4611;YES;YES;YES;YES;09/03/2018;09/03/2018;;;33;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_34;FURETS_LOAN;metlife;4719;YES;YES;YES;YES;09/03/2018;09/03/2018;;;34;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_35;FURETS_LOAN;april;5813;YES;YES;YES;YES;09/03/2018;09/03/2018;;;35;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_36;FURETS_LOAN;Groupe AXA;1954;YES;YES;NO;NO;09/03/2018;09/03/2018;;;36;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_37;FURETS_LOAN;swisslife;2210;YES;YES;NO;NO;09/03/2018;09/03/2018;;;37;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_38;FURETS_LOAN;metlife;2534;YES;YES;NO;NO;09/03/2018;09/03/2018;;;38;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_39;FURETS_LOAN;april;2642;YES;YES;NO;NO;09/03/2018;09/03/2018;;;39;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_40;FURETS_LOAN;bnp;2728;YES;YES;NO;NO;09/03/2018;09/03/2018;;;40;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_41;FURETS_LOAN;Groupe AXA;2743;YES;YES;YES;NO;09/03/2018;09/03/2018;;;41;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_42;FURETS_LOAN;swisslife;2918;YES;YES;YES;NO;09/03/2018;09/03/2018;;;42;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_43;FURETS_LOAN;Groupe AXA;3440;YES;YES;YES;YES;09/03/2018;09/03/2018;;;43;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_44;FURETS_LOAN;magnolia;3530;YES;YES;YES;YES;09/03/2018;09/03/2018;;;44;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_45;FURETS_LOAN;bnp;3733;YES;YES;YES;YES;09/03/2018;09/03/2018;;;45;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_46;FURETS_LOAN;swisslife;3911;YES;YES;YES;YES;09/03/2018;09/03/2018;;;46;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_47;FURETS_LOAN;april;4276;YES;YES;YES;YES;09/03/2018;09/03/2018;;;47;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_48;FURETS_LOAN;metlife;4511;YES;YES;YES;YES;09/03/2018;09/03/2018;;;48;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_49;FURETS_LOAN;Groupe AXA;2042;YES;YES;NO;NO;09/03/2018;09/03/2018;;;49;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_50;FURETS_LOAN;april;2438;YES;YES;NO;NO;09/03/2018;09/03/2018;;;50;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_51;FURETS_LOAN;bnp;2548;YES;YES;NO;NO;09/03/2018;09/03/2018;;;51;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_52;FURETS_LOAN;metlife;2818;YES;YES;NO;NO;09/03/2018;09/03/2018;;;52;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_53;FURETS_LOAN;Groupe AXA;2862;YES;YES;YES;NO;09/03/2018;09/03/2018;;;53;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_54;FURETS_LOAN;bnp;3497;YES;YES;YES;YES;09/03/2018;09/03/2018;;;54;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_55;FURETS_LOAN;Groupe AXA;3560;YES;YES;YES;YES;09/03/2018;09/03/2018;;;55;OK;2018;3;10;TEST
FL_FURETS_LOAN_FUR2017_Y17W10_TEST_716UE3Y28R;FUR2018_56;FURETS_LOAN;april;3956;YES;YES;YES;YES;09/03/2018;09/03/2018;;;56;OK;2018;3;10;TEST
