"","profilID","insurer","coverage","price.x","price.y","Var_Price","price","type","level","id","applicantcount","loannb","firstloan_amount","firstloan_type","firstloan_type_tax","firstloan_rate","firstloan_duration_years","firstloan_differ","contract_start_days","primary_applicant_sex","primary_applicant_age","primary_applicant_marital_status","post_code","primary_applicant_occupation_code","primary_applicant_contract","primary_applicant_working_time","primary_applicant_travel","primary_applicant_risk","primary_applicant_smoke","primary_applicant_share","secondary_applicant_sex","secondary_applicant_age","secondary_applicant_marital_status","secondary_applicant_occupation_code","secondary_applicant_contract","secondary_applicant_working_time","secondary_applicant_travel","secondary_applicant_risk","secondary_applicant_smoke","secondary_applicant_share","contract_start_date"
"1","LOAN2017_0","Groupe AXA","Minimum",1839,1917,-0.0406885758998435,1839,"CLASSIQUE","LOAN2017",0,"Non",1,150000,"Amortissable","Fixe","1,7",20,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"2","LOAN2017_1","Groupe AXA","Formule Optimum",1708,1806,-0.0542635658914729,1708,"CLASSIQUE","LOAN2017",1,"Non",1,150000,"Amortissable","Fixe","1,7",20,0,70,"Homme",18,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"3","LOAN2017_1","Groupe AXA","Minimum",1226,1274,-0.0376766091051806,1226,"CLASSIQUE","LOAN2017",1,"Non",1,150000,"Amortissable","Fixe","1,7",20,0,70,"Homme",18,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"4","LOAN2017_10","Groupe AXA","Minimum",1224,1271,-0.036978756884343,1224,"CLASSIQUE","LOAN2017",10,"Non",1,150000,"Amortissable","Fixe","1,7",15,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"5","LOAN2017_100","Groupe AXA","Formule Optimum",2139,2155,-0.00742459396751738,2139,"CLASSIQUE","LOAN2017",100,"Non",1,119320,"Amortissable","Fixe","1,9",15,0,231,"Homme",30,"Concubinage",59143,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","42","Marié","Artisan","CDI","Temps plein","Non","Non","Non","0.5",NA
"6","LOAN2017_100","Groupe AXA","Minimum",1257,1265,-0.00632411067193672,1257,"CLASSIQUE","LOAN2017",100,"Non",1,119320,"Amortissable","Fixe","1,9",15,0,231,"Homme",30,"Concubinage",59143,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","42","Marié","Artisan","CDI","Temps plein","Non","Non","Non","0.5",NA
"7","LOAN2017_101","Groupe AXA","Formule Optimum",9508,8870,0.0719278466741826,9508,"CLASSIQUE","LOAN2017",101,"Non",1,210810,"In Fine","Variable","2",15,3,365,"Femme",44,"Concubinage",67320,"Salarié cadre","CDI","Temps partiel","Moins de 15.000 km par an","Non","Non",0.7,"Homme","34","Célibataire","Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"8","LOAN2017_101","Groupe AXA","Minimum",7757,7237,0.0718529777532126,7757,"CLASSIQUE","LOAN2017",101,"Non",1,210810,"In Fine","Variable","2",15,3,365,"Femme",44,"Concubinage",67320,"Salarié cadre","CDI","Temps partiel","Moins de 15.000 km par an","Non","Non",0.7,"Homme","34","Célibataire","Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"9","LOAN2017_102","Groupe AXA","Formule Optimum",7555,7551,0.00052973116143562,7555,"CLASSIQUE","LOAN2017",102,"Non",1,349680,"Amortissable","Variable","1,5",20,1,108,"Homme",36,"Célibataire",59147,"Agriculteur","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Femme","29","Marié","Salarié cadre","CDI","Temps partiel","Non","Non","Non","0.5",NA
"10","LOAN2017_102","Groupe AXA","Minimum",4422,4413,0.00203942895989129,4422,"CLASSIQUE","LOAN2017",102,"Non",1,349680,"Amortissable","Variable","1,5",20,1,108,"Homme",36,"Célibataire",59147,"Agriculteur","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Femme","29","Marié","Salarié cadre","CDI","Temps partiel","Non","Non","Non","0.5",NA
