"","insurer","coverage","Avg_Price.x","Avg_Price.y","Avg_Price.x.1","Avg_Price.y.1","Avg_Price"
"1","AXA","Formule Optimum",1676.5,5430.48684210526,8991.81481481482,13480.8,25816
"450","Cardif","Formule Optimum",3156.2,4804.01449275362,7755.62068965517,20102.8571428571,12265.2
"786","Groupe AVIVA","Formule Optimum",1214.66666666667,4564.91111111111,6255.38709677419,8715.83333333333,17909.4285714286
"1094","Groupe AXA","Formule Optimum",1910.52941176471,5018.77358490566,8043.31111111111,15565.8181818182,11529
"1620","MAAF Assurances","Formule Optimum",3459.38888888889,8242.15151515152,10040.7692307692,19705,20266.3333333333
"2065","SIMPL'ASSUR","Formule Optimum",3111,6152.39682539683,9633.4693877551,19954,15676.2857142857
"2625","Zen'up","Formule Optimum",1860.66666666667,6031.28070175439,7736.48387096774,16778.6666666667,14716.6666666667
"121","AXA","Minimum",1280.03448275862,4143.20098039216,6127.27272727273,10192.4090909091,11367.625
"565","Cardif","Minimum",1797.94444444444,3471.50387596899,4727.03921568627,9612.33333333333,7252.375
"878","Groupe AVIVA","Minimum",1336.92857142857,2808.50485436893,4221.33333333333,5525.61904761905,8555.58333333333
"1278","Groupe AXA","Minimum",1080.80555555556,3132.51322751323,5606.12345679012,8942.38461538462,8354.1
"1778","MAAF Assurances","Minimum",1671.375,4963.53293413174,9410.81666666667,11569.6315789474,11378.2222222222
"2266","SIMPL'ASSUR","Minimum",1880.91666666667,3597.17592592593,6606.75,9618.54838709677,9133.5
"2788","Zen'up","Minimum",773.333333333333,3375.22167487685,5149.25373134328,9670.80952380952,8412.7
