"","Var1","Freq","coverage","insurer"
"1","(18,25]",0.0569620253164557,"Formule Optimum","MAAF Assurances"
"2","(25,35]",0.259493670886076,"Formule Optimum","MAAF Assurances"
"3","(35,45]",0.481012658227848,"Formule Optimum","MAAF Assurances"
"4","(45,55]",0.139240506329114,"Formule Optimum","MAAF Assurances"
"5","(55,100]",0.0506329113924051,"Formule Optimum","MAAF Assurances"
"6","(18,25]",0.0662020905923345,"Minimum","MAAF Assurances"
"7","(25,35]",0.299651567944251,"Minimum","MAAF Assurances"
"8","(35,45]",0.442508710801394,"Minimum","MAAF Assurances"
"9","(45,55]",0.142857142857143,"Minimum","MAAF Assurances"
"10","(55,100]",0.0383275261324042,"Minimum","MAAF Assurances"
"11","(18,25]",0.0608695652173913,"Formule Optimum","Cardif"
"12","(25,35]",0.304347826086957,"Formule Optimum","Cardif"
"13","(35,45]",0.460869565217391,"Formule Optimum","Cardif"
"14","(45,55]",0.121739130434783,"Formule Optimum","Cardif"
"15","(55,100]",0.0347826086956522,"Formule Optimum","Cardif"
"16","(18,25]",0.0633484162895928,"Minimum","Cardif"
"17","(25,35]",0.343891402714932,"Minimum","Cardif"
"18","(35,45]",0.420814479638009,"Minimum","Cardif"
"19","(45,55]",0.131221719457014,"Minimum","Cardif"
"20","(55,100]",0.0316742081447964,"Minimum","Cardif"
"21","(18,25]",0.0652173913043478,"Formule Optimum","Groupe AVIVA"
"22","(25,35]",0.510869565217391,"Formule Optimum","Groupe AVIVA"
"23","(35,45]",0.41304347826087,"Formule Optimum","Groupe AVIVA"
"24","(45,55]",0,"Formule Optimum","Groupe AVIVA"
"25","(55,100]",0,"Formule Optimum","Groupe AVIVA"
"26","(18,25]",0.0833333333333333,"Minimum","Groupe AVIVA"
"27","(25,35]",0.50462962962963,"Minimum","Groupe AVIVA"
"28","(35,45]",0.402777777777778,"Minimum","Groupe AVIVA"
"29","(45,55]",0,"Minimum","Groupe AVIVA"
"30","(55,100]",0,"Minimum","Groupe AVIVA"
"31","(18,25]",0.0833333333333333,"Formule Optimum","AXA"
"32","(25,35]",0.366666666666667,"Formule Optimum","AXA"
"33","(35,45]",0.533333333333333,"Formule Optimum","AXA"
"34","(45,55]",0.00833333333333333,"Formule Optimum","AXA"
"35","(55,100]",0,"Formule Optimum","AXA"
"36","(18,25]",0.0668693009118541,"Minimum","AXA"
"37","(25,35]",0.322188449848024,"Minimum","AXA"
"38","(35,45]",0.440729483282675,"Minimum","AXA"
"39","(45,55]",0.130699088145897,"Minimum","AXA"
"40","(55,100]",0.0364741641337386,"Minimum","AXA"
"41","(18,25]",0.054726368159204,"Formule Optimum","SIMPL'ASSUR"
"42","(25,35]",0.313432835820896,"Formule Optimum","SIMPL'ASSUR"
"43","(35,45]",0.442786069651741,"Formule Optimum","SIMPL'ASSUR"
"44","(45,55]",0.134328358208955,"Formule Optimum","SIMPL'ASSUR"
"45","(55,100]",0.054726368159204,"Formule Optimum","SIMPL'ASSUR"
"46","(18,25]",0.0612813370473538,"Minimum","SIMPL'ASSUR"
"47","(25,35]",0.331476323119777,"Minimum","SIMPL'ASSUR"
"48","(35,45]",0.426183844011142,"Minimum","SIMPL'ASSUR"
"49","(45,55]",0.142061281337047,"Minimum","SIMPL'ASSUR"
"50","(55,100]",0.0389972144846797,"Minimum","SIMPL'ASSUR"
"51","(18,25]",0.0543478260869565,"Formule Optimum","Groupe AXA"
"52","(25,35]",0.331521739130435,"Formule Optimum","Groupe AXA"
"53","(35,45]",0.451086956521739,"Formule Optimum","Groupe AXA"
"54","(45,55]",0.114130434782609,"Formule Optimum","Groupe AXA"
"55","(55,100]",0.0380434782608696,"Formule Optimum","Groupe AXA"
"56","(18,25]",0.0555555555555556,"Minimum","Groupe AXA"
"57","(25,35]",0.35672514619883,"Minimum","Groupe AXA"
"58","(35,45]",0.429824561403509,"Minimum","Groupe AXA"
"59","(45,55]",0.12280701754386,"Minimum","Groupe AXA"
"60","(55,100]",0.0263157894736842,"Minimum","Groupe AXA"
"61","(18,25]",0.0858895705521472,"Formule Optimum","Zen'up"
"62","(25,35]",0.269938650306748,"Formule Optimum","Zen'up"
"63","(35,45]",0.460122699386503,"Formule Optimum","Zen'up"
"64","(45,55]",0.141104294478528,"Formule Optimum","Zen'up"
"65","(55,100]",0.0368098159509202,"Formule Optimum","Zen'up"
"66","(18,25]",0.0846905537459283,"Minimum","Zen'up"
"67","(25,35]",0.293159609120521,"Minimum","Zen'up"
"68","(35,45]",0.44299674267101,"Minimum","Zen'up"
"69","(45,55]",0.146579804560261,"Minimum","Zen'up"
"70","(55,100]",0.0260586319218241,"Minimum","Zen'up"
