"","Var1","Freq","coverage","insurer"
"1","(1e+04,1e+05]",0.120253164556962,"All","MAAF Assurances"
"2","(1e+05,2e+05]",0.620253164556962,"All","MAAF Assurances"
"3","(2e+05,3e+05]",0.164556962025316,"All","MAAF Assurances"
"4","(3e+05,4.5e+05]",0.0569620253164557,"All","MAAF Assurances"
"5","(4.5e+05,1e+06]",0.0379746835443038,"All","MAAF Assurances"
"6","(1e+04,1e+05]",0.114982578397213,"Minimum","MAAF Assurances"
"7","(1e+05,2e+05]",0.581881533101045,"Minimum","MAAF Assurances"
"8","(2e+05,3e+05]",0.205574912891986,"Minimum","MAAF Assurances"
"9","(3e+05,4.5e+05]",0.0696864111498258,"Minimum","MAAF Assurances"
"10","(4.5e+05,1e+06]",0.0278745644599303,"Minimum","MAAF Assurances"
"11","(1e+04,1e+05]",NA,"Medium","MAAF Assurances"
"12","(1e+05,2e+05]",NA,"Medium","MAAF Assurances"
"13","(2e+05,3e+05]",NA,"Medium","MAAF Assurances"
"14","(3e+05,4.5e+05]",NA,"Medium","MAAF Assurances"
"15","(4.5e+05,1e+06]",NA,"Medium","MAAF Assurances"
"16","(1e+04,1e+05]",0.0521739130434783,"All","Cardif"
"17","(1e+05,2e+05]",0.591304347826087,"All","Cardif"
"18","(2e+05,3e+05]",0.252173913043478,"All","Cardif"
"19","(3e+05,4.5e+05]",0.0608695652173913,"All","Cardif"
"20","(4.5e+05,1e+06]",0.0434782608695652,"All","Cardif"
"21","(1e+04,1e+05]",0.085972850678733,"Minimum","Cardif"
"22","(1e+05,2e+05]",0.579185520361991,"Minimum","Cardif"
"23","(2e+05,3e+05]",0.230769230769231,"Minimum","Cardif"
"24","(3e+05,4.5e+05]",0.0723981900452489,"Minimum","Cardif"
"25","(4.5e+05,1e+06]",0.0316742081447964,"Minimum","Cardif"
"26","(1e+04,1e+05]",NA,"Medium","Cardif"
"27","(1e+05,2e+05]",NA,"Medium","Cardif"
"28","(2e+05,3e+05]",NA,"Medium","Cardif"
"29","(3e+05,4.5e+05]",NA,"Medium","Cardif"
"30","(4.5e+05,1e+06]",NA,"Medium","Cardif"
"31","(1e+04,1e+05]",0.0326086956521739,"All","Groupe AVIVA"
"32","(1e+05,2e+05]",0.489130434782609,"All","Groupe AVIVA"
"33","(2e+05,3e+05]",0.33695652173913,"All","Groupe AVIVA"
"34","(3e+05,4.5e+05]",0.0652173913043478,"All","Groupe AVIVA"
"35","(4.5e+05,1e+06]",0.0760869565217391,"All","Groupe AVIVA"
"36","(1e+04,1e+05]",0.0648148148148148,"Minimum","Groupe AVIVA"
"37","(1e+05,2e+05]",0.481481481481481,"Minimum","Groupe AVIVA"
"38","(2e+05,3e+05]",0.300925925925926,"Minimum","Groupe AVIVA"
"39","(3e+05,4.5e+05]",0.101851851851852,"Minimum","Groupe AVIVA"
"40","(4.5e+05,1e+06]",0.0509259259259259,"Minimum","Groupe AVIVA"
"41","(1e+04,1e+05]",NA,"Medium","Groupe AVIVA"
"42","(1e+05,2e+05]",NA,"Medium","Groupe AVIVA"
"43","(2e+05,3e+05]",NA,"Medium","Groupe AVIVA"
"44","(3e+05,4.5e+05]",NA,"Medium","Groupe AVIVA"
"45","(4.5e+05,1e+06]",NA,"Medium","Groupe AVIVA"
"46","(1e+04,1e+05]",0.0953947368421053,"All","AXA"
"47","(1e+05,2e+05]",0.592105263157895,"All","AXA"
"48","(2e+05,3e+05]",0.236842105263158,"All","AXA"
"49","(3e+05,4.5e+05]",0.0526315789473684,"All","AXA"
"50","(4.5e+05,1e+06]",0.0230263157894737,"All","AXA"
"51","(1e+04,1e+05]",0.0998509687034277,"Minimum","AXA"
"52","(1e+05,2e+05]",0.585692995529061,"Minimum","AXA"
"53","(2e+05,3e+05]",0.216095380029806,"Minimum","AXA"
"54","(3e+05,4.5e+05]",0.0745156482861401,"Minimum","AXA"
"55","(4.5e+05,1e+06]",0.0238450074515648,"Minimum","AXA"
"56","(1e+04,1e+05]",NA,"Medium","AXA"
"57","(1e+05,2e+05]",NA,"Medium","AXA"
"58","(2e+05,3e+05]",NA,"Medium","AXA"
"59","(3e+05,4.5e+05]",NA,"Medium","AXA"
"60","(4.5e+05,1e+06]",NA,"Medium","AXA"
"61","(1e+04,1e+05]",NA,"All","SIMPL'ASSUR"
"62","(1e+05,2e+05]",NA,"All","SIMPL'ASSUR"
"63","(2e+05,3e+05]",NA,"All","SIMPL'ASSUR"
"64","(3e+05,4.5e+05]",NA,"All","SIMPL'ASSUR"
"65","(4.5e+05,1e+06]",NA,"All","SIMPL'ASSUR"
"66","(1e+04,1e+05]",NA,"Minimum","SIMPL'ASSUR"
"67","(1e+05,2e+05]",NA,"Minimum","SIMPL'ASSUR"
"68","(2e+05,3e+05]",NA,"Minimum","SIMPL'ASSUR"
"69","(3e+05,4.5e+05]",NA,"Minimum","SIMPL'ASSUR"
"70","(4.5e+05,1e+06]",NA,"Minimum","SIMPL'ASSUR"
"71","(1e+04,1e+05]",NA,"Medium","SIMPL'ASSUR"
"72","(1e+05,2e+05]",NA,"Medium","SIMPL'ASSUR"
"73","(2e+05,3e+05]",NA,"Medium","SIMPL'ASSUR"
"74","(3e+05,4.5e+05]",NA,"Medium","SIMPL'ASSUR"
"75","(4.5e+05,1e+06]",NA,"Medium","SIMPL'ASSUR"
"76","(1e+04,1e+05]",0.0978260869565217,"All","Groupe AXA"
"77","(1e+05,2e+05]",0.570652173913043,"All","Groupe AXA"
"78","(2e+05,3e+05]",0.244565217391304,"All","Groupe AXA"
"79","(3e+05,4.5e+05]",0.0597826086956522,"All","Groupe AXA"
"80","(4.5e+05,1e+06]",0.0271739130434783,"All","Groupe AXA"
"81","(1e+04,1e+05]",0.108187134502924,"Minimum","Groupe AXA"
"82","(1e+05,2e+05]",0.552631578947368,"Minimum","Groupe AXA"
"83","(2e+05,3e+05]",0.233918128654971,"Minimum","Groupe AXA"
"84","(3e+05,4.5e+05]",0.0789473684210526,"Minimum","Groupe AXA"
"85","(4.5e+05,1e+06]",0.0263157894736842,"Minimum","Groupe AXA"
"86","(1e+04,1e+05]",NA,"Medium","Groupe AXA"
"87","(1e+05,2e+05]",NA,"Medium","Groupe AXA"
"88","(2e+05,3e+05]",NA,"Medium","Groupe AXA"
"89","(3e+05,4.5e+05]",NA,"Medium","Groupe AXA"
"90","(4.5e+05,1e+06]",NA,"Medium","Groupe AXA"
"91","(1e+04,1e+05]",0.0245398773006135,"All","Zen'up"
"92","(1e+05,2e+05]",0.693251533742331,"All","Zen'up"
"93","(2e+05,3e+05]",0.190184049079755,"All","Zen'up"
"94","(3e+05,4.5e+05]",0.0552147239263804,"All","Zen'up"
"95","(4.5e+05,1e+06]",0.0368098159509202,"All","Zen'up"
"96","(1e+04,1e+05]",0.0228013029315961,"Minimum","Zen'up"
"97","(1e+05,2e+05]",0.661237785016287,"Minimum","Zen'up"
"98","(2e+05,3e+05]",0.214983713355049,"Minimum","Zen'up"
"99","(3e+05,4.5e+05]",0.0716612377850163,"Minimum","Zen'up"
"100","(4.5e+05,1e+06]",0.0293159609120521,"Minimum","Zen'up"
"101","(1e+04,1e+05]",NA,"Medium","Zen'up"
"102","(1e+05,2e+05]",NA,"Medium","Zen'up"
"103","(2e+05,3e+05]",NA,"Medium","Zen'up"
"104","(3e+05,4.5e+05]",NA,"Medium","Zen'up"
"105","(4.5e+05,1e+06]",NA,"Medium","Zen'up"
