"","Var1","Freq","coverage","insurer"
"1","(1e+04,1e+05]",0.120253164556962,"Formule Optimum","MAAF Assurances"
"2","(1e+05,2e+05]",0.620253164556962,"Formule Optimum","MAAF Assurances"
"3","(2e+05,3e+05]",0.164556962025316,"Formule Optimum","MAAF Assurances"
"4","(3e+05,4.5e+05]",0.0569620253164557,"Formule Optimum","MAAF Assurances"
"5","(4.5e+05,1e+06]",0.0379746835443038,"Formule Optimum","MAAF Assurances"
"6","(1e+04,1e+05]",0.0521739130434783,"Formule Optimum","Cardif"
"7","(1e+05,2e+05]",0.591304347826087,"Formule Optimum","Cardif"
"8","(2e+05,3e+05]",0.252173913043478,"Formule Optimum","Cardif"
"9","(3e+05,4.5e+05]",0.0608695652173913,"Formule Optimum","Cardif"
"10","(4.5e+05,1e+06]",0.0434782608695652,"Formule Optimum","Cardif"
"11","(1e+04,1e+05]",0.0326086956521739,"Formule Optimum","Groupe AVIVA"
"12","(1e+05,2e+05]",0.489130434782609,"Formule Optimum","Groupe AVIVA"
"13","(2e+05,3e+05]",0.33695652173913,"Formule Optimum","Groupe AVIVA"
"14","(3e+05,4.5e+05]",0.0652173913043478,"Formule Optimum","Groupe AVIVA"
"15","(4.5e+05,1e+06]",0.0760869565217391,"Formule Optimum","Groupe AVIVA"
"16","(1e+04,1e+05]",0.0953947368421053,"Formule Optimum","AXA"
"17","(1e+05,2e+05]",0.592105263157895,"Formule Optimum","AXA"
"18","(2e+05,3e+05]",0.236842105263158,"Formule Optimum","AXA"
"19","(3e+05,4.5e+05]",0.0526315789473684,"Formule Optimum","AXA"
"20","(4.5e+05,1e+06]",0.0230263157894737,"Formule Optimum","AXA"
"21","(1e+04,1e+05]",0.0298507462686567,"Formule Optimum","SIMPL'ASSUR"
"22","(1e+05,2e+05]",0.621890547263682,"Formule Optimum","SIMPL'ASSUR"
"23","(2e+05,3e+05]",0.243781094527363,"Formule Optimum","SIMPL'ASSUR"
"24","(3e+05,4.5e+05]",0.0696517412935323,"Formule Optimum","SIMPL'ASSUR"
"25","(4.5e+05,1e+06]",0.0348258706467662,"Formule Optimum","SIMPL'ASSUR"
"26","(1e+04,1e+05]",0.0978260869565217,"Formule Optimum","Groupe AXA"
"27","(1e+05,2e+05]",0.570652173913043,"Formule Optimum","Groupe AXA"
"28","(2e+05,3e+05]",0.244565217391304,"Formule Optimum","Groupe AXA"
"29","(3e+05,4.5e+05]",0.0597826086956522,"Formule Optimum","Groupe AXA"
"30","(4.5e+05,1e+06]",0.0271739130434783,"Formule Optimum","Groupe AXA"
"31","(1e+04,1e+05]",0.0245398773006135,"Formule Optimum","Zen'up"
"32","(1e+05,2e+05]",0.693251533742331,"Formule Optimum","Zen'up"
"33","(2e+05,3e+05]",0.190184049079755,"Formule Optimum","Zen'up"
"34","(3e+05,4.5e+05]",0.0552147239263804,"Formule Optimum","Zen'up"
"35","(4.5e+05,1e+06]",0.0368098159509202,"Formule Optimum","Zen'up"
