"","Var1","Freq","coverage","insurer"
"1","(10,15]",0.259493670886076,"All","MAAF Assurances"
"2","(15,20]",0.582278481012658,"All","MAAF Assurances"
"3","(20,25]",0.113924050632911,"All","MAAF Assurances"
"4","(25,30]",0.0126582278481013,"All","MAAF Assurances"
"5","(10,15]",0.250871080139373,"Minimum","MAAF Assurances"
"6","(15,20]",0.56794425087108,"Minimum","MAAF Assurances"
"7","(20,25]",0.13588850174216,"Minimum","MAAF Assurances"
"8","(25,30]",0.024390243902439,"Minimum","MAAF Assurances"
"9","(10,15]",NA,"Medium","MAAF Assurances"
"10","(15,20]",NA,"Medium","MAAF Assurances"
"11","(20,25]",NA,"Medium","MAAF Assurances"
"12","(25,30]",NA,"Medium","MAAF Assurances"
"13","(10,15]",0.278260869565217,"All","Cardif"
"14","(15,20]",0.539130434782609,"All","Cardif"
"15","(20,25]",0.104347826086957,"All","Cardif"
"16","(25,30]",0.0260869565217391,"All","Cardif"
"17","(10,15]",0.280542986425339,"Minimum","Cardif"
"18","(15,20]",0.538461538461538,"Minimum","Cardif"
"19","(20,25]",0.113122171945701,"Minimum","Cardif"
"20","(25,30]",0.0361990950226244,"Minimum","Cardif"
"21","(10,15]",NA,"Medium","Cardif"
"22","(15,20]",NA,"Medium","Cardif"
"23","(20,25]",NA,"Medium","Cardif"
"24","(25,30]",NA,"Medium","Cardif"
"25","(10,15]",0.402173913043478,"All","Groupe AVIVA"
"26","(15,20]",0.423913043478261,"All","Groupe AVIVA"
"27","(20,25]",0.130434782608696,"All","Groupe AVIVA"
"28","(25,30]",0.0217391304347826,"All","Groupe AVIVA"
"29","(10,15]",0.347222222222222,"Minimum","Groupe AVIVA"
"30","(15,20]",0.430555555555556,"Minimum","Groupe AVIVA"
"31","(20,25]",0.175925925925926,"Minimum","Groupe AVIVA"
"32","(25,30]",0.0277777777777778,"Minimum","Groupe AVIVA"
"33","(10,15]",NA,"Medium","Groupe AVIVA"
"34","(15,20]",NA,"Medium","Groupe AVIVA"
"35","(20,25]",NA,"Medium","Groupe AVIVA"
"36","(25,30]",NA,"Medium","Groupe AVIVA"
"37","(10,15]",0.283333333333333,"All","AXA"
"38","(15,20]",0.575,"All","AXA"
"39","(20,25]",0.1,"All","AXA"
"40","(25,30]",0.00833333333333333,"All","AXA"
"41","(10,15]",0.240121580547112,"Minimum","AXA"
"42","(15,20]",0.541033434650456,"Minimum","AXA"
"43","(20,25]",0.161094224924012,"Minimum","AXA"
"44","(25,30]",0.033434650455927,"Minimum","AXA"
"45","(10,15]",NA,"Medium","AXA"
"46","(15,20]",NA,"Medium","AXA"
"47","(20,25]",NA,"Medium","AXA"
"48","(25,30]",NA,"Medium","AXA"
"49","(10,15]",NA,"All","SIMPL'ASSUR"
"50","(15,20]",NA,"All","SIMPL'ASSUR"
"51","(20,25]",NA,"All","SIMPL'ASSUR"
"52","(25,30]",NA,"All","SIMPL'ASSUR"
"53","(10,15]",NA,"Minimum","SIMPL'ASSUR"
"54","(15,20]",NA,"Minimum","SIMPL'ASSUR"
"55","(20,25]",NA,"Minimum","SIMPL'ASSUR"
"56","(25,30]",NA,"Minimum","SIMPL'ASSUR"
"57","(10,15]",NA,"Medium","SIMPL'ASSUR"
"58","(15,20]",NA,"Medium","SIMPL'ASSUR"
"59","(20,25]",NA,"Medium","SIMPL'ASSUR"
"60","(25,30]",NA,"Medium","SIMPL'ASSUR"
"61","(10,15]",0.277173913043478,"All","Groupe AXA"
"62","(15,20]",0.532608695652174,"All","Groupe AXA"
"63","(20,25]",0.141304347826087,"All","Groupe AXA"
"64","(25,30]",0.0217391304347826,"All","Groupe AXA"
"65","(10,15]",0.269005847953216,"Minimum","Groupe AXA"
"66","(15,20]",0.532163742690059,"Minimum","Groupe AXA"
"67","(20,25]",0.154970760233918,"Minimum","Groupe AXA"
"68","(25,30]",0.0263157894736842,"Minimum","Groupe AXA"
"69","(10,15]",NA,"Medium","Groupe AXA"
"70","(15,20]",NA,"Medium","Groupe AXA"
"71","(20,25]",NA,"Medium","Groupe AXA"
"72","(25,30]",NA,"Medium","Groupe AXA"
"73","(10,15]",0.257668711656442,"All","Zen'up"
"74","(15,20]",0.576687116564417,"All","Zen'up"
"75","(20,25]",0.116564417177914,"All","Zen'up"
"76","(25,30]",0.0184049079754601,"All","Zen'up"
"77","(10,15]",0.250814332247557,"Minimum","Zen'up"
"78","(15,20]",0.570032573289902,"Minimum","Zen'up"
"79","(20,25]",0.133550488599349,"Minimum","Zen'up"
"80","(25,30]",0.0260586319218241,"Minimum","Zen'up"
"81","(10,15]",NA,"Medium","Zen'up"
"82","(15,20]",NA,"Medium","Zen'up"
"83","(20,25]",NA,"Medium","Zen'up"
"84","(25,30]",NA,"Medium","Zen'up"
