;insurer;coverage;period.x;yearmonth.x;rank.x;proportion.x;period.y;yearmonth.y;rank.y;proportion.y;var_prop
4th;AFI-ESCA;Formule Optimum;Y17W46;Y17M11;1;1;Y18W11;Y18M03;1;2;1
;AFI-ESCA;Minimum;Y17W46;Y17M11;1;1;Y18W11;Y18M03;1;2;1
1st;AsCourtage;Formule Optimum;Y17W46;Y17M11;1;29;Y18W11;Y18M03;1;29;0
;AsCourtage;Minimum;Y17W46;Y17M11;1;87;Y18W11;Y18M03;1;86;0
6th;AXA;Minimum;Y17W46;Y17M11;1;0;Y18W11;Y18M03;1;0;NA
5th;Cardif;Formule Optimum;NA;NA;NA;NA;Y18W11;Y18M03;1;3;NA
6th;CSF Assurances;Formule Optimum;Y17W46;Y17M11;1;0;NA;NA;NA;NA;NA
;CSF Assurances;Minimum;Y17W46;Y17M11;1;0;Y18W11;Y18M03;1;0;NA
5th;Groupe AVIVA;Formule Optimum;Y17W46;Y17M11;1;0;Y18W11;Y18M03;1;3;Inf
;Groupe AVIVA;Minimum;NA;NA;NA;NA;Y18W11;Y18M03;1;0;NA
2nd;Groupe AXA;Formule Optimum;Y17W46;Y17M11;1;55;Y18W11;Y18M03;1;30;-0.5
;Groupe AXA;Minimum;Y17W46;Y17M11;1;4;Y18W11;Y18M03;1;0;-1
2nd bis;HODEVA;Formule Optimum;Y17W46;Y17M11;1;12;Y18W11;Y18M03;1;22;0.8
;HODEVA;Minimum;Y17W46;Y17M11;1;7;Y18W11;Y18M03;1;8;0.1
5th;SIMPL'ASSUR;Formule Optimum;Y17W46;Y17M11;1;2;Y18W11;Y18M03;1;2;0
;SIMPL'ASSUR;Minimum;Y17W46;Y17M11;1;0;Y18W11;Y18M03;1;1;Inf
3rd;Zen'up;Formule Optimum;Y17W46;Y17M11;1;1;Y18W11;Y18M03;1;9;8
;Zen'up;Minimum;Y17W46;Y17M11;1;0;Y18W11;Y18M03;1;3;Inf
